"","club","Expected","Actual","Opportunities","Difference"
"1","ARI",62.2255322371726,50.8608484864021,80,-11.3646837507705
"2","ATL",69.9103889330224,43.0965140563448,111,-26.8138748766776
"3","BAL",69.8539977507954,52.5513439623954,92,-17.3026537884
"4","BUF",45.2471324785115,30.8849482551745,72,-14.362184223337
"5","CAR",67.4611946392557,49.3477381573466,103,-18.1134564819091
"6","CHI",48.9064542781926,39.1793002557825,71,-9.72715402241012
"7","CIN",59.7616999607554,34.9091043373366,81,-24.8525956234188
"8","CLE",52.9614564281341,36.2059939586616,68,-16.7554624694725
"9","DAL",53.0569527055342,31.4014744312092,74,-21.655478274325
"10","DEN",62.2582289739449,42.1794676053396,89,-20.0787613686053
"11","DET",52.1371126310811,31.3216461792025,78,-20.8154664518786
"12","GB",56.8815631131733,34.7759807594882,76,-22.1055823536851
"13","HOU",31.5806842342298,19.7410695175349,54,-11.8396147166948
"14","IND",52.1282432551443,39.8509494368293,64,-12.277293818315
"15","JAX",61.5117175242644,53.7124526124681,82,-7.79926491179634
"16","KC",63.1195127985576,39.288776428662,81,-23.8307363698956
"17","LA",46.9885510597484,33.3233328845777,70,-13.6652181751707
"18","LAC",67.0091028046212,53.4469883432183,85,-13.5621144614029
"19","LV",49.2589107248013,47.574630540192,72,-1.6842801846093
"20","MIA",67.1331931090685,54.4274697697011,93,-12.7057233393674
"21","MIN",60.0126526774582,19.3805473169826,82,-40.6321053604755
"22","NE",48.7134913623449,31.7178303539489,67,-16.995661008396
"23","NO",66.3026038334453,62.0666476123796,87,-4.2359562210657
"24","NYG",40.207453610365,23.2628971054585,63,-16.9445565049065
"25","NYJ",69.6553315647547,40.9871042997886,88,-28.6682272649662
"26","PHI",63.7774805509708,60.5699544223316,89,-3.20752612863917
"27","PIT",61.3045292901479,47.4225906895299,81,-13.881938600618
"28","SEA",70.8635745471154,49.6193665021536,98,-21.2442080449618
"29","SF",41.5170017025761,35.2835125926358,63,-6.23348910994031
"30","TB",45.5879759868623,27.0213213949894,73,-18.566654591873
"31","TEN",79.8878066048365,53.0001740566718,105,-26.8876325481647
"32","WAS",52.9053032455451,37.53174594811,73,-15.3735572974351
